username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink
,29/06/2017 19:59,0,1,See my picks for the #MLSAllStar game presented by @Target ! Vote for a chance to win a trip to @MLS v @RealMadrid https://www. mlssoccer.com/all-star/2017/ vote?view=enRkclU= …,,@Target @MLS @RealMadrid,#MLSAllStar,8.80577E+17,https://twitter.com/elOscarG/status/880576605462179840
,29/06/2017 19:56,1,4,Thanks to @Target and @BushFoundation for making this great conversation on housing in Rochester possible! @CitizensLeague @TheCurrent,,@Target @BushFoundation @CitizensLeague @TheCurrent,,8.80576E+17,https://twitter.com/laurencdee/status/880575812847767552
,29/06/2017 19:56,0,1,See my picks for the #MLSAllStar game presented by @Target ! Vote for a chance to win a trip to @MLS v @RealMadrid https://www. mlssoccer.com/all-star/2017/ vote?view=enRkcV0= …,,@Target @MLS @RealMadrid,#MLSAllStar,8.80576E+17,https://twitter.com/AnalystAaron/status/880575700469731328
,29/06/2017 19:55,0,0,See my picks for the #MLSAllStar game presented by @Target ! Vote for a chance to win a trip to @MLS v @RealMadrid https://www. mlssoccer.com/all-star/2017/ vote?view=enRleVo= …,,@Target @MLS @RealMadrid,#MLSAllStar,8.80575E+17,https://twitter.com/JackLewy1/status/880575436870213632
,29/06/2017 19:53,0,0,See? This is why I always slip my merchandise some cash when #shopping at @Target . #retail #funny #punintended pic.twitter.com/710UKZLA1g,,@Target,#shopping #retail #funny #punintended,8.80575E+17,https://twitter.com/joelcobbs/status/880575089426747392
,29/06/2017 19:52,0,0,See my picks for the #MLSAllStar game presented by @Target ! Vote for a chance to win a trip to @MLS v @RealMadrid https://www. mlssoccer.com/all-star/2017/ vote?view=enRldF0= …,,@Target @MLS @RealMadrid,#MLSAllStar,8.80575E+17,https://twitter.com/mem2482/status/880574762577252352
,29/06/2017 19:52,0,0,Thank you @Target for the new beauty and beast socks,,@Target,,8.80575E+17,https://twitter.com/orgnzdelegantly/status/880574624345473024
,29/06/2017 19:51,0,1,Totally feeling: this Ava & Viv t-shirt dress from @target Totally not feeling: this frizzy… https://www. instagram.com/p/BV8Uw_ODPVp/,,@target,,8.80574E+17,https://twitter.com/samazon/status/880574465150668800
,29/06/2017 19:51,0,0,See my picks for the #MLSAllStar game presented by @Target ! Vote for a chance to win a trip to @MLS v @RealMadrid https://www. mlssoccer.com/all-star/2017/ vote?view=enRlc1Q= …,,@Target @MLS @RealMadrid,#MLSAllStar,8.80574E+17,https://twitter.com/RATM71944/status/880574370493616128
,29/06/2017 19:50,0,0,See my picks for the #MLSAllStar game presented by @Target ! Vote for a chance to win a trip to @MLS v @RealMadrid https://www. mlssoccer.com/all-star/2017/ vote?view=enRlc10= …,,@Target @MLS @RealMadrid,#MLSAllStar,8.80574E+17,https://twitter.com/7TJay/status/880574202880946177
