username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink
,29/06/2017 19:55,0,0,I just entered to win a $50 #GiftCard to @bestbuy Thanks to @southern_mommas ! #Giveaway http:// wp.me/p8AXgS-GT,,@bestbuy @southern_mommas,#GiftCard #Giveaway,8.80576E+17,https://twitter.com/susan1215/status/880575584870383616
,29/06/2017 19:53,0,1,Ugh!! 2 months after buying @Apple BeatsX and 2 out of 3 of them don't work...thankfully @BestBuy 's Apple certified and trying to fix them,,@Apple @BestBuy,,8.80575E+17,https://twitter.com/MomofMiners/status/880574863722905600
,29/06/2017 19:52,1,1,"I'm at @BestBuy in Dublin, CA https://www. swarmapp.com/c/dTGQd4Wh2tz",,@BestBuy,,8.80575E+17,https://twitter.com/egeek84/status/880574787357212673
,29/06/2017 19:45,0,0,Find lost items with @TheTrackR pixel. Get it @BestBuy http:// bit.ly/2sLjXQK,,@TheTrackR @BestBuy,,8.80573E+17,https://twitter.com/FelipeA65453078/status/880573038646964225
,29/06/2017 19:44,0,0,Unable to provide financial viability for ticket holders in Wilmington?? WTF?? English please. thanks for ruining my summer!,,,,8.80573E+17,https://twitter.com/DBizNizzz/status/880572743976194049
,29/06/2017 19:42,0,1,There's always like 500 people offering to assist me all at once,,,,8.80572E+17,https://twitter.com/schonnikki/status/880572085940002817
,29/06/2017 19:40,0,0,Wtf make sure u get hooked up with something for free,,,,8.80572E+17,https://twitter.com/jam101177/status/880571810030514177
,29/06/2017 19:38,0,4,I swear @BestBuy & @HomeDepot have the best in-store customer service,,@BestBuy @HomeDepot,,8.80571E+17,https://twitter.com/schonnikki/status/880571160064163840
,29/06/2017 19:38,0,0,"Hi Neal, TrackR devices have a battery that lasts approximately one year. We also offer a battery replacement program!",,,,8.80571E+17,https://twitter.com/TheTrackR/status/880571084722065408
,29/06/2017 19:36,0,1,4k TVs are cheaper then consoles @wal-mart @target @bestbuy from $299.99 to super low $139. 2160 60hz,,@wal @target @bestbuy,,8.80571E+17,https://twitter.com/LORDMAX1E/status/880570674854735881
,29/06/2017 19:34,0,0,Everybody's going somewhere. I'm going to @BestBuy ! #Plano #BestBuy pic.twitter.com/QfwDIE6PB9,,@BestBuy,#Plano #BestBuy,8.8057E+17,https://twitter.com/trekermeker/status/880570072359723012
,29/06/2017 19:31,0,2,Yes we are!!!,,,,8.80569E+17,https://twitter.com/erinkorski/status/880569352654909440
,29/06/2017 19:30,0,0,Find lost items with @TheTrackR pixel. Get it @BestBuy http:// bit.ly/2sLjXQK,,@TheTrackR @BestBuy,,8.80569E+17,https://twitter.com/ambushman10/status/880569316525178881
,29/06/2017 19:27,0,0,Haha. @BestBuy doesn't know what version of the connection they have. https:// twitter.com/iggy_rb/status /880534450899001344 …,,@BestBuy,,8.80568E+17,https://twitter.com/iggy_rb/status/880568445519003648
,29/06/2017 19:21,1,0,"[Save $30 or more] on select 11.6 IPS [2-In-1] 32GB Tablets with Docking keyboard cases at @BestBuy from $167.99 http://www. bestbuy.com/site/searchpag e.jsp?cp=2&searchType=search&st=visual%20land&_dyncharset=UTF-8&id=pcat17071&type=page&sc=Global&nrp=&sp=%2Bcurrentprice%20skuidsaas&qp=&list=n&af=true&iht=y&usc=All%20Categories&ks=960&keys=keys … pic.twitter.com/lHGy6Z2HYv""",,@BestBuy,,8.80567E+17,https://twitter.com/Visual_Land/status/880566816468107264
,29/06/2017 19:20,0,0,Learned today the my kid's Insignia tablet from @BestBuy isn't compatible with downloading videos via @Netflix .,,@BestBuy @Netflix,,8.80567E+17,https://twitter.com/Ro12Two/status/880566670582046720
,29/06/2017 19:17,1,0,"[Save $15] on a 10 IPS 16GB Tablet with Keyboard case included at @BestBuy for $94.99 http://www. bestbuy.com/site/visual-la nd-prestige-elite-10qs-10-1-tablet-16gb-with-keyboard-black/4626219.p?skuId=4626219 … pic.twitter.com/ETUqUc73dc""",,@BestBuy,,8.80566E+17,https://twitter.com/Visual_Land/status/880565871978070016
,29/06/2017 19:15,0,0,Crap. I have it on our home computers (Best Buy said it was the best). Any recommendations for replacing? Please and thank you!,,,,8.80565E+17,https://twitter.com/pir8tequeen/status/880565447401197572
,29/06/2017 19:12,0,1,Been at @BestBuy for over an hour waiting for them to fix THEIR error...I could've been at @TryonPublic eating and drinking already!,,@BestBuy @TryonPublic,,8.80565E+17,https://twitter.com/calixto_87/status/880564553926328320
,29/06/2017 19:07,0,0,@BestBuySupport @BestBuy you are my go to guys. What happened? https:// twitter.com/MamaRedStar/st atus/880562980198301696 …,,@BestBuySupport @BestBuy,,8.80563E+17,https://twitter.com/MamaRedStar/status/880563376488722433
,29/06/2017 19:03,0,0,Find lost items with @TheTrackR pixel. Get it @BestBuy http:// bit.ly/2sLjXQK,,@TheTrackR @BestBuy,,8.80563E+17,https://twitter.com/San198Taylor/status/880562517365460993
,29/06/2017 19:03,0,0,This was transferred from another store. @bestbuy you guys don't know how to take car of your products. pic.twitter.com/KMEn9HngOl,,@bestbuy,,8.80562E+17,https://twitter.com/MamaRedStar/status/880562305636982784
,29/06/2017 18:58,0,0,@BestBuy is one of the worst companies to deal with. Customer service is HORRIBLE!!!!!!!!!!,,@BestBuy,,8.80561E+17,https://twitter.com/kingterrykimble/status/880561103981486082
,29/06/2017 18:56,0,0,@BestBuy #MyDecisionIs Miller-Motte for my BS in Computer Science #Sweepstakes,,@BestBuy,#MyDecisionIs #Sweepstakes,8.80561E+17,https://twitter.com/ArnGrndlr/status/880560694189367296
,29/06/2017 18:55,0,0,"Extremely fortunate to be able to solve emergency computing problems with money. Unfortunately, I decided to rely on @BestBuy . Whoops.",,@BestBuy,,8.8056E+17,https://twitter.com/beland_matt/status/880560422008496128
,29/06/2017 18:55,0,0,@BestBuy do you sell terabytes? Need to buy some since @CoxComm capped my monthly internet usage,,@BestBuy @CoxComm,,8.8056E+17,https://twitter.com/ABudwill/status/880560417453490176
,29/06/2017 18:53,0,0,THERE is NO reason you can't do #giveaways once in a while.,,,#giveaways,8.8056E+17,https://twitter.com/katuroo/status/880559970542026752
,29/06/2017 18:52,0,0,@BestBuy you GOTTA promote your boy Gordon! https:// twitter.com/lukeg2017/stat us/879868232173277188 …,,@BestBuy,,8.8056E+17,https://twitter.com/bradon_adams/status/880559628299509761
,29/06/2017 18:51,0,0,A worker from @bestbuy in union square stole my @RAYBAN sunglasses today..,,@bestbuy @RAYBAN,,8.80559E+17,https://twitter.com/EricaBoyce5/status/880559410631680000
,29/06/2017 18:50,0,0,Find lost items with @TheTrackR pixel. Get it @BestBuy http:// bit.ly/2sLjXQK,,@TheTrackR @BestBuy,,8.80559E+17,https://twitter.com/ambushman10/status/880559024277565440
,29/06/2017 18:48,0,0,3D TVS are supposedly dead. No one sells them anymore. @bestbuy has ONE on their clearance wall for $1000...I want it but it's a ripoff.,,@bestbuy,,8.80559E+17,https://twitter.com/grimmlife/status/880558533015519233
,29/06/2017 18:47,0,0,Ring Stick Up Cam Wire-Free Outdoor Security Camera & Audio #Ring http://www. ebay.com/itm/-/25301869 4728?roken=cUgayN&soutkn=x9jtWF … @eBay @amazon @facebook @groupon @bestbuy @yahoo,,@eBay @amazon @facebook @groupon @bestbuy @yahoo,#Ring,8.80558E+17,https://twitter.com/Qaawsearch/status/880558412488036352
,29/06/2017 18:45,0,0,If I had $1000 @BestBuy I'd definitely be buying one of these #ShopkickSummerSweepstakes pic.twitter.com/2uHMnxcUXX,,@BestBuy,#ShopkickSummerSweepstakes,8.80558E+17,https://twitter.com/MadiBurke7/status/880557917770002435
,29/06/2017 18:45,0,0,OUR BIGGEST NEWS YET! Get EXCLUSIVE savings through our partnership w/ @BestBuy ! http:// bit.ly/BBpartnership #edtech #edchat #K12 #teaching pic.twitter.com/z97P2r4B74,,@BestBuy,#edtech #edchat #K12 #teaching,8.80558E+17,https://twitter.com/PledgeCents/status/880557743911952384
,29/06/2017 18:41,0,0,"Warehouse just left me a msg saying they're out front and I've got 15 mins til they leave. Unless it's an invisible truck, this is BS 2/2 pic.twitter.com/NVgbJiKnST",,,,8.80557E+17,https://twitter.com/arkitect75/status/880556920989335554
,29/06/2017 18:41,2,2,And the Media says 4k TVs are to expensive not @$299.99 @bestbuy .com so stop the lying and just get one http://www. bestbuy.com/site/clp/tv-sa le-page/pcmcat359600050007.c?id=pcmcat359600050007&ref=P10T12R103&loc=BODY&CampaignID=851662 …,,@ @bestbuy,,8.80557E+17,https://twitter.com/aw_som_1/status/880556756845248513
,29/06/2017 18:40,0,0,"@BestBuy once again screws up an appliance delivery and tried to blame me. 12-4 window, no calls, or anything. @BestBuySupport 1/2",,@BestBuy @BestBuySupport,,8.80556E+17,https://twitter.com/arkitect75/status/880556490888683520
,29/06/2017 18:37,0,0,If I buy my loved ones this stuff it will make up for me not spending time with them,,,,8.80556E+17,https://twitter.com/BonsaiMums/status/880555885617004544
,29/06/2017 18:35,0,0,You,,,,8.80555E+17,https://twitter.com/DustyDJensen3/status/880555310309675008
,29/06/2017 18:35,0,0,This is awesome,,,,8.80555E+17,https://twitter.com/DustyDJensen3/status/880555241153941504
,29/06/2017 18:34,0,0,I just entered to win a $50 #GiftCard to @bestbuy Thanks to @southern_mommas ! #Giveaway http:// wp.me/p8AXgS-GT,,@bestbuy @southern_mommas,#GiftCard #Giveaway,8.80555E+17,https://twitter.com/mmanney0821/status/880555177618546688
,29/06/2017 18:28,0,0,Lol,,,,8.80554E+17,https://twitter.com/ElChapoCR/status/880553576942235652
,29/06/2017 18:23,0,0,#shameonyou #bestbuyvisa (what happened to the customer is always right??) I guess not with your company...,,,#shameonyou #bestbuyvisa,8.80552E+17,https://twitter.com/leslieerin1/status/880552278087815168
,29/06/2017 18:20,0,0,"Then I have to call BACK, because of course they DIDNT call me back to #apologize for hanging up on me (I'm assuming it was an accident)",,,#apologize,8.80552E+17,https://twitter.com/leslieerin1/status/880551565404360707
,29/06/2017 18:19,0,0,@BestBuy I ordered this from you because your site and my confirm said 7/1. Now I get an email that says 7/3! What gives?!?!? pic.twitter.com/5BfmFyPHig,,@BestBuy,,8.80551E+17,https://twitter.com/NoahBershatsky/status/880551334574829569
,29/06/2017 18:17,0,0,@bestbuy ur #visacreditcardcompany is horrible @#customerservice Having a #SUPERVISOR hang on u wen ur calm&trying 2explain an issue??!!,,@bestbuy @,#visacreditcardcompany #customerservice #SUPERVISOR,8.80551E+17,https://twitter.com/leslieerin1/status/880550746122539008
,29/06/2017 18:15,0,4,Thanks to @BestBuy Ima get my AirPods in 2-4 days lmao! Fuckin apple...taking 2 months,,@BestBuy,,8.8055E+17,https://twitter.com/Hopsin_CR_YT/status/880550408220950528
,29/06/2017 18:09,0,0,I just entered to win a $50 #GiftCard to @bestbuy Thanks to @southern_mommas ! #Giveaway http:// wp.me/p8AXgS-GT,,@bestbuy @southern_mommas,#GiftCard #Giveaway,8.80549E+17,https://twitter.com/taxicheermom/status/880548886745538560
,29/06/2017 18:08,0,0,Find lost items with @TheTrackR pixel. Get it @BestBuy http:// bit.ly/2sLjXQK,,@TheTrackR @BestBuy,,8.80548E+17,https://twitter.com/isalazaroli/status/880548434960203776
,29/06/2017 18:06,0,0,Eager to buy the new @stonesour & @311 albums tomorrow at @BestBuy . Top contenders in 2017 w/ @demonhunterband & @mastodonmusic,,@stonesour @311 @BestBuy @demonhunterband @mastodonmusic,,8.80548E+17,https://twitter.com/Drag_TheWaters/status/880548062929850368
,29/06/2017 18:02,0,0,I just entered to win a $50 #GiftCard to @bestbuy Thanks to @southern_mommas ! #Giveaway http:// wp.me/p8AXgS-GT,,@bestbuy @southern_mommas,#GiftCard #Giveaway,8.80547E+17,https://twitter.com/happyjoyjoy12/status/880547114836672512
,29/06/2017 17:59,0,0,@BestBuy are stores in the US open on July 3rd and July 4th?,,@BestBuy,,8.80546E+17,https://twitter.com/khurramc/status/880546359807549441
,29/06/2017 17:58,1,3,Y'all better promote this man @BestBuy https:// twitter.com/wakaflocka/sta tus/880124297527738369 …,,@BestBuy,,8.80546E+17,https://twitter.com/iLikeFrankDaily/status/880545998941986816
,29/06/2017 17:56,0,0,http://www. bestbuy.com/site/remote-co ntrol-programming/3552187.p?skuId=3552187#tabbed-customerreviews … What's worse.. @BestBuy charging $100 for this!? Or people being stupid enough to pay it? #WTF #RIPOFF,,@BestBuy,#tabbed #WTF #RIPOFF,8.80546E+17,https://twitter.com/LiquidEvilGames/status/880545583563329536
,29/06/2017 17:55,0,1,@Traxxas what's going on here? Can you help? @BestBuy refused all help in store. pic.twitter.com/yq9hiETFXq,,@Traxxas @BestBuy,,8.80545E+17,https://twitter.com/luckychahalfoto/status/880545210383708160
,29/06/2017 17:54,0,0,Give this man a raise @BestBuy https:// twitter.com/WakaFlocka/sta tus/880124297527738369 …,,@BestBuy,,8.80545E+17,https://twitter.com/RaShAd_HuGhsToN/status/880544996109189120
,29/06/2017 17:45,0,0,Find lost items with @TheTrackR pixel. Get it @BestBuy http:// bit.ly/2sLjXQK,,@TheTrackR @BestBuy,,8.80543E+17,https://twitter.com/RobertBurrel/status/880542763665772544
,29/06/2017 17:42,0,0,@BestBuy this guy BETTER be a manager https:// twitter.com/complex/status /880473941785141250 …,,@BestBuy,,8.80542E+17,https://twitter.com/ctscott71/status/880542137439461376
,29/06/2017 17:42,0,0,@BestBuy want 2 activate new samsung & transfer data via smart switch. if i do activate the old one wont work. how would i transfer data?,,@BestBuy,,8.80542E+17,https://twitter.com/uforje/status/880542009546518528
,29/06/2017 17:41,0,0,@Shopkick here is my @BestBuy wishlist for the #ShopkickSummerSweepstakes pic.twitter.com/yROcslw7BN,,@Shopkick @BestBuy,#ShopkickSummerSweepstakes,8.80542E+17,https://twitter.com/beandafbaby/status/880541744911179776
