Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
9.87043E+17,19/04/2018,6:58:30 PM,Eastern Standard Time,amazon,Are you a Finisher or an Opener? Author @gretchenrubin explains how to know your strengths and buttress your weaknesses. #DayOneInsights  http://amzn.to/insights-gretchenrubin … pic.twitter.com/4zGVUZpNh0,5,8,23,#DayOneInsights
9.87002E+17,19/04/2018,4:15:00 PM,Eastern Standard Time,amazon,@xSamanthaHx I don't think the French Bulldog realizes the seriousness of no internet connection! It's OK though; we love all doggos! <Emoji: Smiling face with smiling eyes><Emoji: Smiling face with heart-shaped eyes>,0,0,2,
9.86818E+17,18/04/2018,4:06:19 AM,Eastern Standard Time,amazon,"@thejanimaria This is such a surprise, we don't have a speech prepared! We'd like to start by thanking our customers for always being so awesome and standing by us through the years. We love you and couldn't do it without you!",1,0,2,
9.86789E+17,18/04/2018,2:11:32 AM,Eastern Standard Time,amazon,"@ohitsjustjamie It's because we have the best customers, such as yourself! <Emoji: Grinning face with smiling eyes><Emoji: Grinning face with smiling eyes>",0,0,1,
9.86742E+17,18/04/2018,11:02:42 PM,Eastern Standard Time,amazon,From film studies with Alfred Hitchcock to selling on Amazon: Ofer Azrielant's journey into ecommerce. More stories of entrepreneurship:  http://amzn.to/stories  pic.twitter.com/zacijzLPRr,12,14,41,
9.86731E+17,18/04/2018,10:18:31 PM,Eastern Standard Time,amazon,@Genesis_GGP Thank you for the amazing feedback and for being such a valuable customer!,0,0,1,
9.86687E+17,18/04/2018,7:26:00 PM,Eastern Standard Time,amazon,@LeonettiRebecca Nicely done! We're so happy you stopped by. Enjoy your steaks!,1,0,3,
9.86663E+17,18/04/2018,5:47:53 PM,Eastern Standard Time,amazon,@KaiDupe How'd it go? What special offer did you walk away with today? <Emoji: Smiling face with smiling eyes>,1,0,1,
9.86663E+17,18/04/2018,5:47:27 PM,Eastern Standard Time,amazon,@Ali_SmileyRiley That's fantastic! <Emoji: Thumbs up sign>,0,0,3,
9.86656E+17,18/04/2018,5:23:26 PM,Eastern Standard Time,amazon,@Wreckers_LB It's the little things. <Emoji: Smiling face with sunglasses>,0,0,1,
9.86425E+17,17/04/2018,2:04:25 AM,Eastern Standard Time,amazon,@abigailotwell <Emoji: Face with open mouth><Emoji: Face with open mouth><Emoji: Face with open mouth><Emoji: Face with open mouth>...Perhaps they were just window shopping? Maybe they're hinting at something?? What are their favorite treats or toys?,1,0,3,
9.86416E+17,17/04/2018,1:26:27 AM,Eastern Standard Time,amazon,@abigailotwell A fabulous car ride provided by the imagination station! The pup looks extremely excited for such a grand adventure! Do you know where they were headed?,1,0,3,
9.86415E+17,17/04/2018,1:22:43 AM,Eastern Standard Time,amazon,@_miniguinea Sounds like a good evening! Find any fun shows or apps to try out?,0,0,1,
9.86361E+17,17/04/2018,9:49:25 PM,Eastern Standard Time,amazon,"@buhler4 Fantastic to hear you're making the most of your new device! Thanks so much for sharing your experience with us, Joel.",0,0,1,
9.86358E+17,17/04/2018,9:38:00 PM,Eastern Standard Time,amazon,"@Lizzduh We love you too, Liz! <Emoji: Two hearts>",0,1,1,
9.86357E+17,17/04/2018,9:34:29 PM,Eastern Standard Time,amazon,"@skinnyb78 You're welcome, Kari! What treasure did you uncover this time?",1,0,1,
9.86321E+17,17/04/2018,7:10:30 PM,Eastern Standard Time,amazon,"@Snugginberries We just ""woof"" this picture! Looks like a howling good time!",0,0,1,
9.86319E+17,17/04/2018,7:02:24 PM,Eastern Standard Time,amazon,When you learn something important: Write. It. Down. Simple and sage advice from author @gretchenrubin. More #DayOneInsights for entrepreneurs:  http://amzn.to/insights-gretchenrubin … pic.twitter.com/xsFdDLrEHu,16,26,74,#DayOneInsights
9.86297E+17,17/04/2018,5:34:03 PM,Eastern Standard Time,amazon,@MintGreenOcean We love you right back!,0,1,3,
9.86297E+17,17/04/2018,5:34:00 PM,Eastern Standard Time,amazon,@matt_johnson423 Looks like you're getting ready for a great week of reading! Which book are you looking forward to the most? <Emoji: Books><Emoji: Smiling face with smiling eyes>,0,0,1,
9.85983E+17,16/04/2018,8:46:30 PM,Eastern Standard Time,amazon,"@CamboPhresh Aww, thanks! We love you too! <Emoji: Heavy red heart>",0,0,3,
9.85961E+17,16/04/2018,7:20:00 PM,Eastern Standard Time,amazon,@mcsassymd Some of the best things in life come from an Amazon box! <Emoji: Package>,2,0,10,
9.85961E+17,16/04/2018,7:20:00 PM,Eastern Standard Time,amazon,"@Arwen_Datnoid Thank you for such kind words, Arwen! We appreciate such lovely feedback <Emoji: Heavy red heart>",2,0,3,
9.85675E+17,15/04/2018,12:24:33 AM,Eastern Standard Time,amazon,@phoeberoberts93 Our pleasure! <Handshake> Wipe please! Sharona! Wipe please!,0,1,4,
9.85571E+17,15/04/2018,5:29:27 PM,Eastern Standard Time,amazon,"@ExaltedBunny Hey, we love you too. <Emoji: Heart suit>",1,0,1,
